date,adr_ATM_1M,adr_P25_1M,adr_C25_1M,adr_ATM_3M,adr_ATM_1Y,adr_ADR_SPOT,loc_ATM_1M,loc_P25_1M,loc_C25_1M,loc_ATM_3M,loc_ATM_1Y,loc_LOC_SPOT,fx_ATM_1M,fx_RR_1M,fx_BF_1M,fx_ATM_3M,fx_RR_3M,fx_BF_3M,fx_ATM_1Y,fx_RR_1Y,fx_BF_1Y,fx_FX_SPOT
2016-01-04,32.141,36.01113,31.26419,29.822,30.186,87.3,35.813,38.68663,33.95313,33.623,31.866,80.08,10.215,-0.3825,0.1825,10.0,-1.0025,0.225,9.985,-1.63,0.3025,1.08
2016-01-05,32.798,34.68288,32.075,31.093,30.573,86.42,36.839,38.1775,32.36988,33.619,32.188,80.71,10.1575,-0.3875,0.175,10.0425,-0.9875,0.22,10.055,-1.695,0.3,1.07
2016-01-06,33.555,38.2025,31.26013,31.384,30.813,84.61,37.084,36.84138,36.67269,34.134,32.85,78.83,10.13,-0.33,0.17,10.04,-0.9125,0.21,10.05,-1.65,0.295,1.08
2016-01-07,35.987,39.22538,35.3075,32.821,31.492,82.49,39.657,40.21538,41.695,35.41,32.641,76.99,10.5625,-0.1975,0.1775,10.2975,-0.7675,0.225,10.145,-1.525,0.295,1.09
2016-01-08,35.346,38.78587,36.5395,32.84,31.198,80.28,43.081,42.51388,44.22588,37.457,33.476,73.74,10.205,-0.13,0.18,10.255,-0.695,0.225,10.245,-1.485,0.29,1.09
2016-01-11,36.59,44.11363,36.42731,32.574,31.45,82.31,36.423,57.69169,32.0805,33.352,32.041,75.69,10.52,-0.105,0.185,10.21,-0.6225,0.225,10.2425,-1.45,0.2875,1.09
2016-01-12,35.904,43.43381,36.001,32.34,31.709,82.65,38.12,43.0615,45.29613,34.25,32.797,75.99,10.135,-0.05,0.1875,10.03,-0.635,0.2325,10.1475,-1.4475,0.29,1.09
2016-01-13,37.518,45.02288,43.57438,32.621,31.458,80.01,39.869,53.44969,40.71619,35.121,32.934,75.35,9.6875,-0.0025,0.2275,9.755,-0.6025,0.2425,10.0975,-1.445,0.29,1.09
2016-01-14,36.713,47.86969,43.97219,32.303,31.613,82.9,41.299,55.533,50.07988,35.984,33.518,75.17,9.56,0.065,0.1875,9.96,-0.4725,0.2325,10.1175,-1.34,0.285,1.09
2016-01-15,41.576,41.71013,41.43731,36.094,34.286,77.47,46.71,48.22031,43.30363,39.416,34.787,71.75,9.9075,0.27,0.195,10.23,-0.2775,0.2325,10.26,-1.185,0.285,1.09
2016-01-19,38.987,42.34581,36.36363,33.711,32.402,80.32,41.706,47.54888,39.21838,35.598,33.595,73.8,9.6325,0.24,0.1975,9.8675,-0.2175,0.2375,10.15,-1.12,0.28,1.09
2016-01-20,35.787,39.38019,32.84169,32.946,30.753,85.26,38.319,42.90869,35.667,35.203,33.234,77.23,9.8675,0.33,0.2525,10.035,-0.1025,0.2675,10.2075,-0.95,0.28,1.09
2016-01-21,33.596,37.3205,30.96431,32.017,30.922,87.36,33.386,34.13919,35.71319,32.578,31.666,80.59,9.43,0.185,0.1875,10.215,-0.2325,0.2425,10.28,-0.965,0.285,1.09
2016-01-22,31.369,34.18619,28.92813,30.311,30.659,90.36,31.754,35.56488,29.81238,31.733,32.184,83.6,8.91,0.19,0.2,10.0525,-0.2825,0.255,10.28,-0.97,0.285,1.08
2016-01-25,32.385,35.46113,29.47219,31.095,30.911,89.72,32.665,34.83187,30.46031,32.32,32.414,83.36,9.075,0.23,0.19,10.0475,-0.275,0.255,10.315,-0.955,0.285,1.08
2016-01-26,32.484,35.3945,30.07663,31.414,31.204,90.19,32.369,37.16237,29.81031,32.065,32.295,83.0,8.8625,0.215,0.19,10.0,-0.26,0.255,10.305,-0.93,0.285,1.09
2016-01-27,31.14,34.18538,29.38131,30.748,31.557,89.71,32.475,35.9365,29.51788,31.882,32.285,83.13,8.77,0.23,0.19,9.9925,-0.215,0.2525,10.32,-0.82,0.285,1.09
2016-01-28,31.587,33.88981,30.23363,31.283,31.645,89.81,33.537,38.40863,31.19031,32.907,32.788,81.5,8.78,0.29,0.19,10.0475,-0.1675,0.2525,10.305,-0.73,0.285,1.09
2016-01-29,29.711,32.37819,26.84738,30.025,30.785,91.84,33.028,32.14938,30.23488,32.728,32.695,84.22,8.7725,0.1525,0.1875,10.1825,-0.2425,0.245,10.39,-0.8,0.285,1.08
2016-02-01,30.014,32.36669,28.39463,29.945,31.137,92.24,33.051,36.40169,27.58331,32.887,32.029,84.5,8.5175,0.21,0.19,10.02,-0.2425,0.2425,10.28,-0.785,0.2875,1.09
2016-02-02,32.145,35.14831,30.848,31.01,31.689,88.51,30.034,39.653,28.81063,31.654,32.485,82.25,8.4925,0.35,0.2,9.935,-0.1275,0.2425,10.325,-0.755,0.285,1.09
2016-02-03,31.421,34.65819,30.11538,30.91,31.495,90.98,33.568,40.98781,30.397,33.544,32.937,81.41,9.58,0.575,0.2225,10.43,0.0225,0.2675,10.6125,-0.6525,0.2875,1.11
2016-02-04,30.82,35.23569,28.55888,30.695,31.346,91.47,33.969,38.20669,30.79213,33.709,32.656,81.75,9.9275,0.64,0.2225,10.45,0.0475,0.2675,10.48,-0.565,0.285,1.12
