date,adr_ATM_1M,adr_P25_1M,adr_C25_1M,adr_ATM_3M,adr_ATM_1Y,adr_ADR_SPOT,loc_ATM_1M,loc_P25_1M,loc_C25_1M,loc_ATM_3M,loc_ATM_1Y,loc_LOC_SPOT,fx_ATM_1M,fx_RR_1M,fx_BF_1M,fx_ATM_3M,fx_RR_3M,fx_BF_3M,fx_ATM_1Y,fx_RR_1Y,fx_BF_1Y,fx_FX_SPOT,rho_1m,rho_3m,rho_1y,delta_var_1m,delta_var_3m,delta_var_1y,fx_C25_1M,fx_P25_1M,rho_put_1m,rho_call_1m,corr_skew_1m,rho_drift_1d,rho_drift_5d,rho_drift_20d,cross_term_1m,cross_term_drift_1d,cross_term_drift_5d,cross_term_drift_20d,adr_skew_1m,loc_skew_1m
2016-01-04,32.141,36.01113,31.26419,29.822,30.186,87.3,35.813,38.68663,33.95313,33.623,31.866,80.08,10.215,-0.3825,0.1825,10.0,-1.0025,0.225,9.985,-1.63,0.3025,1.08,-0.48365840868702376,-0.5073230303661184,-0.3204888689338532,-353.8733130000003,-341.1544449999999,-203.94758499999995,10.206249999999999,10.58875,-0.3807894224540269,-0.40332679068714467,0.02253736823311775,-0.030219195316913694,0.35515508212144453,0.5995849445222133,-353.8733130000002,-30.704610249999632,255.39608400000037,413.01062575000054,4.746940000000002,4.733499999999999
2016-01-05,32.798,34.68288,32.075,31.093,30.573,86.42,36.839,38.1775,32.36988,33.619,32.188,80.71,10.1575,-0.3875,0.175,10.0425,-0.9875,0.22,10.055,-1.695,0.3,1.07,-0.5138776040039374,-0.39143897256079263,-0.3127789700452655,-384.57792324999986,-264.31431825000004,-202.46204,10.138750000000002,10.526250000000001,-0.4546557342801482,-0.1855597564324124,-0.2690959778477358,0.04550052208655264,0.1686491418112207,0.1542365392086557,-384.57792324999986,32.675992249999524,117.82251425000032,153.27014024999986,2.6078799999999944,5.80762
2016-01-06,33.555,38.2025,31.26013,31.384,30.813,84.61,37.084,36.84138,36.67269,34.134,32.85,78.83,10.13,-0.33,0.17,10.04,-0.9125,0.21,10.05,-1.65,0.295,1.08,-0.4683770819173848,-0.40993829218194894,-0.3493703946023312,-351.90193100000033,-280.9761,-230.6840310000003,10.135000000000002,10.465,-0.009561138462437705,-0.6328179933529597,0.6232568548905221,0.0038256405860758735,0.11135688172951147,0.019754054725609593,-351.90193100000033,-37.277955249999195,76.11743775000036,49.326113750000275,6.94237,0.168689999999998
2016-01-07,35.987,39.22538,35.3075,32.821,31.492,82.49,39.657,40.21538,41.695,35.41,32.641,76.99,10.5625,-0.1975,0.1775,10.2975,-0.7675,0.225,10.145,-1.525,0.295,1.09,-0.46455144133130893,-0.38763280028582026,-0.26666707635882125,-389.1798862499995,-282.6885652499998,-176.60984199999984,10.64125,10.838750000000001,-0.2249734464876514,-0.6818881115733822,0.45691466508573086,-0.3438057090343855,-0.1042627103076062,0.2733072751851817,-389.1798862499995,-321.594983750001,-59.976745750000305,268.67403024999936,3.917880000000004,-1.479619999999997
2016-01-08,35.346,38.78587,36.5395,32.84,31.198,80.28,43.081,42.51388,44.22588,37.457,33.476,73.74,10.205,-0.13,0.18,10.255,-0.695,0.225,10.245,-1.485,0.29,1.09,-0.8083571503656944,-0.5593623825334342,-0.3678070406245456,-710.7748700000005,-429.7262739999999,-252.28739699999994,10.32,10.45,-0.46400695332664815,-0.7967551959680551,0.33274824264140695,0.6798538238001153,0.21258844327187565,0.3920028110302001,-710.7748700000005,612.2976410000007,159.35598975000016,356.6595880000007,2.246370000000006,-1.7119999999999962
2016-01-11,36.59,44.11363,36.42731,32.574,31.45,82.31,36.423,57.69169,32.0805,33.352,32.041,75.69,10.52,-0.105,0.185,10.21,-0.6225,0.225,10.2425,-1.45,0.2875,1.09,-0.12850332656557922,-0.22837533410281433,-0.21700288287727973,-98.47722899999987,-155.53452800000002,-142.4319872499998,10.6525,10.7575,-1.0,0.2696728675932171,-1.2696728675932172,-0.21672513562713752,-0.2600498770301072,-0.6776919731767099,-98.47722899999987,-168.27817999999968,-213.7120942500003,-700.1018792499999,7.686320000000002,25.61119
2016-01-12,35.904,43.43381,36.001,32.34,31.709,82.65,38.12,43.0615,45.29613,34.25,32.797,75.99,10.135,-0.05,0.1875,10.03,-0.635,0.2325,10.1475,-1.4475,0.29,1.09,-0.34522846219271675,-0.33154230738441565,-0.2601417551192476,-266.75540899999953,-227.78779999999966,-173.15428424999982,10.2975,10.3475,-0.08401171174686867,-0.9237111179183451,0.8396994061714764,-0.011791737995156593,-0.031648489775570054,-0.04150989518560261,-266.75540899999953,-9.029084250000437,-18.248539250000817,-126.19613600000042,7.4328100000000035,-2.2346299999999957
2016-01-13,37.518,45.02288,43.57438,32.621,31.458,80.01,39.869,53.44969,40.71619,35.121,32.934,75.35,9.6875,-0.0025,0.2275,9.755,-0.6025,0.2425,10.0975,-1.445,0.29,1.09,-0.35702020018787334,-0.3860345746784956,-0.296198266948867,-275.78449324999997,-264.51502500000004,-197.00209825000002,9.913749999999999,9.91625,-0.8755714843746718,0.17668274465326514,-1.0522542290279369,-0.2117939514510418,0.23813272956007525,-0.06405746663378031,-275.78449324999997,-173.37213874999986,200.92581324999946,-184.59933999999947,1.4485000000000028,12.7335
2016-01-14,36.713,47.86969,43.97219,32.303,31.613,82.9,41.299,55.533,50.07988,35.984,33.518,75.17,9.56,0.065,0.1875,9.96,-0.4725,0.2325,10.1175,-1.34,0.285,1.09,-0.5688141516389151,-0.48907006276551335,-0.33386331237177325,-449.15663199999983,-350.56604700000037,-226.43836125,9.780000000000001,9.715,-0.8218563540436226,-0.6840700003383188,-0.1377863537053038,-0.02695455545490366,0.3855689378542415,0.16405539922180934,-449.15663199999983,-102.26224825000054,345.4661769999997,65.14347574999965,3.897500000000001,5.453119999999998
2016-01-15,41.576,41.71013,41.43731,36.094,34.286,77.47,46.71,48.22031,43.30363,39.416,34.787,71.75,9.9075,0.27,0.195,10.23,-0.2775,0.2325,10.26,-1.185,0.285,1.09,-0.5957687070938188,-0.44081656704007505,-0.1959476652987763,-551.4188802500004,-355.4971199999997,-139.87317299999984,10.2375,9.967500000000001,-0.7124044950072402,-0.29657987047163614,-0.4158246245356041,0.2072155034981324,0.4261368022783004,0.16085295024691088,-551.4188802500004,239.22955700000023,450.8492552500002,164.47631024999998,0.27282000000000295,4.9166799999999995
2016-01-19,38.987,42.34581,36.36363,33.711,32.402,80.32,41.706,47.54888,39.21838,35.598,33.595,73.8,9.6325,0.24,0.1975,9.8675,-0.2175,0.2375,10.15,-1.12,0.28,1.09,-0.3885532035956864,-0.3247615990388292,-0.26651415110593646,-312.18932325000014,-228.15363924999997,-181.7569209999999,9.95,9.71,-0.608634309527275,-0.4033210997787442,-0.20531320974853084,0.011676251627399603,0.2646543187295706,-0.0364573262263162,-312.18932325000014,27.185374999999794,241.1035120000003,-50.12011499999983,5.98218,8.330499999999994
2016-01-20,35.787,39.38019,32.84169,32.946,30.753,85.26,38.319,42.90869,35.667,35.203,33.234,77.23,9.8675,0.33,0.2525,10.035,-0.1025,0.2675,10.2075,-0.95,0.28,1.09,-0.3768769519682868,-0.3602332579657821,-0.38755432887285535,-285.00394825000035,-254.51351800000043,-262.9448032500001,10.284999999999998,9.955,-0.45587365028217064,-0.4080028274610696,-0.047870822821101056,0.2579894813404887,0.09275536207763313,-0.17686643679259956,-285.00394825000035,210.14526824999984,123.16502325000027,-200.53212074999925,6.538499999999999,7.241689999999998
2016-01-21,33.596,37.3205,30.96431,32.017,30.922,87.36,33.386,34.13919,35.71319,32.578,31.666,80.59,9.43,0.185,0.1875,10.215,-0.2325,0.2425,10.28,-0.965,0.285,1.09,-0.11888747062779807,-0.21122395598806396,-0.23384253102850477,-74.85868000000052,-140.58402,-152.24387199999987,9.709999999999999,9.525,0.2100553113125076,-0.5924986770149203,0.802553988327428,-0.06435774315687555,-0.2276515540634566,-0.35683863283544653,-74.85868000000052,-28.831774999999624,-129.22151999999932,-311.03362524999943,6.356190000000002,-1.573999999999998
2016-01-22,31.369,34.18619,28.92813,30.311,30.659,90.36,31.754,35.56488,29.81238,31.733,32.184,83.6,8.91,0.19,0.2,10.0525,-0.2825,0.255,10.28,-0.97,0.285,1.08,-0.18324521378467362,-0.2966797932165181,-0.3045383847715132,-103.69045500000016,-189.27932425000006,-201.51397499999993,9.205,9.014999999999999,-0.27670883030917853,-0.24901947346785758,-0.027689356841320956,0.013613308969155274,-0.30868523950085036,-0.2984209089568605,-103.69045500000014,3.120829999999984,-181.37156425,-293.38457699999987,5.258060000000004,5.752500000000001
