Date,ATM_1M,P25_1M,C25_1M,ATM_3M,ATM_1Y,ADR_SPOT,,,,,,,,
1/4/2016,32.141,36.01113,31.26419,29.822,30.186,87.3,,,,"# =BDH(""ASML US Equity"", ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH(""ASML US Equity"", ""CALL_IMP_VOL_30D, 1M_PUT_IMP_VOL_25DELTA_DFLT, 1M_CALL_IMP_VOL_25DELTA_DFLT, 3MO_CALL_IMP_VOL, 12MO_CALL_IMP_VOL"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,
1/5/2016,32.798,34.68288,32.075,31.093,30.573,86.42,,,,,,,,
1/6/2016,33.555,38.2025,31.26013,31.384,30.813,84.61,,,,,,,,
1/7/2016,35.987,39.22538,35.3075,32.821,31.492,82.49,,,,,,,,
1/8/2016,35.346,38.78587,36.5395,32.84,31.198,80.28,,,,,,,,
1/11/2016,36.59,44.11363,36.42731,32.574,31.45,82.31,,,,,,,,
1/12/2016,35.904,43.43381,36.001,32.34,31.709,82.65,,,,,,,,
1/13/2016,37.518,45.02288,43.57438,32.621,31.458,80.01,,,,,,,,
1/14/2016,36.713,47.86969,43.97219,32.303,31.613,82.9,,,,,,,,
1/15/2016,41.576,41.71013,41.43731,36.094,34.286,77.47,,,,,,,,
1/19/2016,38.987,42.34581,36.36363,33.711,32.402,80.32,,,,,,,,
1/20/2016,35.787,39.38019,32.84169,32.946,30.753,85.26,,,,,,,,
1/21/2016,33.596,37.3205,30.96431,32.017,30.922,87.36,,,,,,,,
1/22/2016,31.369,34.18619,28.92813,30.311,30.659,90.36,,,,,,,,
1/25/2016,32.385,35.46113,29.47219,31.095,30.911,89.72,,,,,,,,
1/26/2016,32.484,35.3945,30.07663,31.414,31.204,90.19,,,,,,,,
1/27/2016,31.14,34.18538,29.38131,30.748,31.557,89.71,,,,,,,,
1/28/2016,31.587,33.88981,30.23363,31.283,31.645,89.81,,,,,,,,
1/29/2016,29.711,32.37819,26.84738,30.025,30.785,91.84,,,,,,,,
2/1/2016,30.014,32.36669,28.39463,29.945,31.137,92.24,,,,,,,,
2/2/2016,32.145,35.14831,30.848,31.01,31.689,88.51,,,,,,,,
2/3/2016,31.421,34.65819,30.11538,30.91,31.495,90.98,,,,,,,,
2/4/2016,30.82,35.23569,28.55888,30.695,31.346,91.47,,,,,,,,
2/5/2016,33.788,37.41419,31.50788,32.347,32.096,88.36,,,,,,,,
2/8/2016,36.812,41.5895,36.77281,34.365,33.028,86.36,,,,,,,,
2/9/2016,37.832,44.29863,38.09819,34.856,32.828,84.97,,,,,,,,
2/10/2016,38.449,44.95531,39.2105,36.051,34.658,81.74,,,,,,,,
2/11/2016,40.362,46.266,40.05031,36.636,33.986,81.81,,,,,,,,
2/12/2016,37.125,42.1895,34.68969,35.43,33.617,82.04,,,,,,,,
2/16/2016,34.336,42.78713,37.91113,33.764,33.363,83.98,,,,,,,,
2/17/2016,32.193,38.739,34.56469,31.787,32.506,86.28,,,,,,,,
2/18/2016,31.39,39.20488,35.00669,31.812,32.597,85.92,,,,,,,,
2/19/2016,30.726,31.15988,30.3325,31.192,32.272,88.01,,,,,,,,
2/22/2016,30.107,33.44019,27.92919,30.838,31.804,87.92,,,,,,,,
2/23/2016,30.403,33.89281,28.24031,31.115,31.826,88.58,,,,,,,,
2/24/2016,30.515,34.62219,28.90988,30.993,31.431,89.21,,,,,,,,
2/25/2016,29.585,34.42081,27.83138,30.08,31.228,89.92,,,,,,,,
2/26/2016,29.583,33.53213,28.21838,29.969,31.452,90.82,,,,,,,,
2/29/2016,29.838,34.32863,29.91338,29.549,31.567,91.02,,,,,,,,
3/1/2016,27.551,31.60538,26.14581,28.823,30.743,93.79,,,,,,,,
3/2/2016,27.253,30.00419,25.21663,28.457,30.937,93.34,,,,,,,,
3/3/2016,26.343,30.81081,25.08531,28.044,29.746,94.7,,,,,,,,
3/4/2016,26.71,30.70713,23.50119,28.106,30.548,95.35,,,,,,,,
3/7/2016,27.228,31.89788,26.42438,28.394,30.131,96.04,,,,,,,,
3/8/2016,27.973,32.13288,28.87738,29.178,30.854,93.79,,,,,,,,
3/9/2016,27.247,31.915,28.20569,28.587,30.753,94.11,,,,,,,,
