Date,ATM_1M,P25_1M,C25_1M,ATM_3M,ATM_1Y,LOC_SPOT,,,,,,,,,,,,,
1/4/2016,35.813,38.68663,33.95313,33.623,31.866,80.08,,,,"# =BDH(""ASML NA Equity"", ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)","# =BDH(""ASML NA Equity"", ""CALL_IMP_VOL_30D, 1M_PUT_IMP_VOL_25DELTA_DFLT, 1M_CALL_IMP_VOL_25DELTA_DFLT, 3MO_CALL_IMP_VOL, 12MO_CALL_IMP_VOL"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,,,,,,,
1/5/2016,36.839,38.1775,32.36988,33.619,32.188,80.71,,,,,,,,,,,,,
1/6/2016,37.084,36.84138,36.67269,34.134,32.85,78.83,,,,,,,,,,,,,
1/7/2016,39.657,40.21538,41.695,35.41,32.641,76.99,,,,,,,,,,,,,
1/8/2016,43.081,42.51388,44.22588,37.457,33.476,73.74,,,,,,,,,,,,,
1/11/2016,36.423,57.69169,32.0805,33.352,32.041,75.69,,,,,,,,,,,,,
1/12/2016,38.12,43.0615,45.29613,34.25,32.797,75.99,,,,,,,,,,,,,
1/13/2016,39.869,53.44969,40.71619,35.121,32.934,75.35,,,,,,,,,,,,,
1/14/2016,41.299,55.533,50.07988,35.984,33.518,75.17,,,,,,,,,,,,,
1/15/2016,46.71,48.22031,43.30363,39.416,34.787,71.75,,,,,,,,,,,,,
1/18/2016,47.734,52.70219,40.31412,40.049,35.123,72.47,,,,,,,,,,,,,
1/19/2016,41.706,47.54888,39.21838,35.598,33.595,73.8,,,,,,,,,,,,,
1/20/2016,38.319,42.90869,35.667,35.203,33.234,77.23,,,,,,,,,,,,,
1/21/2016,33.386,34.13919,35.71319,32.578,31.666,80.59,,,,,,,,,,,,,
1/22/2016,31.754,35.56488,29.81238,31.733,32.184,83.6,,,,,,,,,,,,,
1/25/2016,32.665,34.83187,30.46031,32.32,32.414,83.36,,,,,,,,,,,,,
1/26/2016,32.369,37.16237,29.81031,32.065,32.295,83,,,,,,,,,,,,,
1/27/2016,32.475,35.9365,29.51788,31.882,32.285,83.13,,,,,,,,,,,,,
1/28/2016,33.537,38.40863,31.19031,32.907,32.788,81.5,,,,,,,,,,,,,
1/29/2016,33.028,32.14938,30.23488,32.728,32.695,84.22,,,,,,,,,,,,,
2/1/2016,33.051,36.40169,27.58331,32.887,32.029,84.5,,,,,,,,,,,,,
2/2/2016,30.034,39.653,28.81063,31.654,32.485,82.25,,,,,,,,,,,,,
2/3/2016,33.568,40.98781,30.397,33.544,32.937,81.41,,,,,,,,,,,,,
2/4/2016,33.969,38.20669,30.79213,33.709,32.656,81.75,,,,,,,,,,,,,
2/5/2016,34.32,39.69488,32.01662,34.097,32.661,79.56,,,,,,,,,,,,,
2/8/2016,39.949,47.55331,37.36119,37.169,34.112,76.48,,,,,,,,,,,,,
2/9/2016,45.976,54.83919,28.44413,40.732,35.633,75.96,,,,,,,,,,,,,
2/10/2016,41.489,45.375,41.81569,38.105,34.581,73.75,,,,,,,,,,,,,
2/11/2016,43.989,54.75831,42.377,39.918,36.34,72.06,,,,,,,,,,,,,
2/12/2016,40.295,46.13081,41.90413,37.407,35.264,72.17,,,,,,,,,,,,,
2/15/2016,39.047,50.63819,41.5985,36.656,34.743,74.96,,,,,,,,,,,,,
2/16/2016,37.779,45.44719,43.30713,36.448,35.057,74.44,,,,,,,,,,,,,
2/17/2016,35.409,38.003,43.22519,34.344,33.778,76.84,,,,,,,,,,,,,
2/18/2016,36.413,39.83037,50.74719,34.741,33.88,77.54,,,,,,,,,,,,,
2/19/2016,34.525,39.85238,31.68819,33.982,33.505,78.99,,,,,,,,,,,,,
2/22/2016,34.009,38.01969,31.93163,33.903,33.494,79.8,,,,,,,,,,,,,
2/23/2016,33.245,39.17838,31.6275,33.785,33.288,79.75,,,,,,,,,,,,,
2/24/2016,35.029,39.224,33.67881,34.895,33.97,79.57,,,,,,,,,,,,,
2/25/2016,32.872,36.56931,32.74988,33.123,33.111,80.85,,,,,,,,,,,,,
2/26/2016,30.409,35.838,28.46013,31.866,32.479,83.08,,,,,,,,,,,,,
2/29/2016,30.02,35.76163,29.57138,31.134,32.135,84.62,,,,,,,,,,,,,
3/1/2016,29.697,35.57113,27.10563,30.705,31.606,86.01,,,,,,,,,,,,,
3/2/2016,28.875,33.5365,28.3995,30.482,31.639,85.72,,,,,,,,,,,,,
3/3/2016,28.884,33.02463,29.025,30.032,31.422,85.73,,,,,,,,,,,,,
3/4/2016,27.095,33.289,25.8985,29.181,30.818,86.57,,,,,,,,,,,,,
3/7/2016,27.019,34.73138,30.00219,29.743,31.062,86.68,,,,,,,,,,,,,
3/8/2016,28.177,39.83981,31.01138,30.226,30.858,85.68,,,,,,,,,,,,,
3/9/2016,28.662,42.07413,33.02931,30.207,30.699,85.56,,,,,,,,,,,,,
3/10/2016,29.762,34.40838,35.12788,29.738,30.713,85.62,,,,,,,,,,,,,
3/11/2016,25.733,32.37163,25.97631,27.743,29.918,86.95,,,,,,,,,,,,,
3/14/2016,25.531,32.21719,30.35913,27.767,29.979,87.46,,,,,,,,,,,,,
3/15/2016,25.152,31.40369,33.31338,28.219,30.149,86.93,,,,,,,,,,,,,
3/16/2016,24.913,32.89213,34.87519,27.744,29.87,86.85,,,,,,,,,,,,,
3/17/2016,26.073,40.644,31.71263,27.535,29.545,86.28,,,,,,,,,,,,,
3/18/2016,27.639,9.78531,27.84281,31.704,32.417,86.99,,,,,,,,,,,,,
3/21/2016,25.871,26.39019,21.07031,27.175,28.922,86.63,,,,,,,,,,,,,
3/22/2016,25.208,25.93913,20.376,26.424,28.912,87.6,,,,,,,,,,,,,
3/23/2016,24.454,25.68619,19.87569,25.702,28.696,88.11,,,,,,,,,,,,,
3/24/2016,28.719,28.3595,21.21713,28.008,29.233,86.49,,,,,,,,,,,,,
3/29/2016,28.257,26.003,23.0815,26.874,28.721,88.16,,,,,,,,,,,,,
3/30/2016,28.335,25.08181,21.576,26.492,28.647,89.29,,,,,,,,,,,,,
3/31/2016,28.314,25.55019,21.98981,26.759,28.75,89.28,,,,,,,,,,,,,
4/1/2016,28.845,24.75688,25.60819,28.677,29.301,87.91,,,,,,,,,,,,,
4/4/2016,28.435,26.586,23.06563,27.148,28.71,89.49,,,,,,,,,,,,,
4/5/2016,31.962,25.74838,28.4165,29.756,30.171,87.62,,,,,,,,,,,,,
4/6/2016,29.274,27.26769,24.97469,28.139,29.312,87.8,,,,,,,,,,,,,
4/7/2016,29.357,28.33088,23.72331,28.255,28.972,88.24,,,,,,,,,,,,,
