Date,ATM_1M,RR_1M,BF_1M,ATM_3M,RR_3M,BF_3M,ATM_1Y,RR_1Y,BF_1Y,FX_SPOT,,,,,,,,,,,,,,,,,
1/1/2016,9.6925,-0.4675,0.175,9.93,-1.0875,0.225,10.045,-1.72,0.315,1.09,"# =BDH(""EURUSD Curncy"", ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)","# =BDH('00_CONTROL'!$D$14, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)","# =BDH('00_CONTROL'!$D$14, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH('00_CONTROL'!$D$15, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH('00_CONTROL'!$D$16, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH('00_CONTROL'!$D$17, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH('00_CONTROL'!$D$18, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH('00_CONTROL'!$D$19, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH('00_CONTROL'!$D$20, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)",,"# =BDH('00_CONTROL'!$D21, ""PX_LAST"", '00_CONTROL'!$B$3, '00_CONTROL'!$B$4)"
1/4/2016,10.215,-0.3825,0.1825,10,-1.0025,0.225,9.985,-1.63,0.3025,1.08,,,,,,,,,,,,,,,,,
1/5/2016,10.1575,-0.3875,0.175,10.0425,-0.9875,0.22,10.055,-1.695,0.3,1.07,,,,,,,,,,,,,,,,,
1/6/2016,10.13,-0.33,0.17,10.04,-0.9125,0.21,10.05,-1.65,0.295,1.08,,,,,,,,,,,,,,,,,
1/7/2016,10.5625,-0.1975,0.1775,10.2975,-0.7675,0.225,10.145,-1.525,0.295,1.09,,,,,,,,,,,,,,,,,
1/8/2016,10.205,-0.13,0.18,10.255,-0.695,0.225,10.245,-1.485,0.29,1.09,,,,,,,,,,,,,,,,,
1/11/2016,10.52,-0.105,0.185,10.21,-0.6225,0.225,10.2425,-1.45,0.2875,1.09,,,,,,,,,,,,,,,,,
1/12/2016,10.135,-0.05,0.1875,10.03,-0.635,0.2325,10.1475,-1.4475,0.29,1.09,,,,,,,,,,,,,,,,,
1/13/2016,9.6875,-0.0025,0.2275,9.755,-0.6025,0.2425,10.0975,-1.445,0.29,1.09,,,,,,,,,,,,,,,,,
1/14/2016,9.56,0.065,0.1875,9.96,-0.4725,0.2325,10.1175,-1.34,0.285,1.09,,,,,,,,,,,,,,,,,
